name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_КОЭФФ. ДЛИНЫ ОКРУЖНОСТИ ПОКРЫШКИ","PR030","2102","G","0","0","","740"
"PR_НАПРЯЖЕНИЕ ПИТАНИЯ КОМПЬЮТЕРА","PR005","2107","0.071*A","0","0","V","740"
"PR_СКОРОСТЬ АВТОМОБИЛЯ","PR038","220204","A","0","0","км/час","740"
"PR_ДАВЛЕНИЕ В ГЛАВНОМ ЦИЛИНДРЕ","PR107","2107","0.5*F","0","0","bar","740"
"PR_ДАВЛ В ТОРМ ЦИЛИНДРЕ ПРАВ ПЕРЕД КОЛЕСА","PR111","2107","0.5*H","0","0","bar","740"
"PR_ДАВЛ В ТОРМ ЦИЛИНДРЕ ЛЕВ ПЕРЕД КОЛЕСА","PR112","2107","0.5*G","0","0","bar","740"
"PR_КОРР.ПРОГРАММ.ДАТЧИКА ДАВЛЕНИЯ","PR017","210F","0.000625*(signed(E)*256+F)","0","0","bar","740"
"PR_УГОЛ РУЛЕВОГО КОЛЕСА","PR033","2110","0.1*(P*256+Q)-3276.7","0","0","d*","740"
"PR_СМЕЩЕНИЕ ВВОДА ПАРАМ. УГЛА РУЛЕВ. КОЛЕСА","PR066","210F","((A*256+B)*0.1)-3276.7","0","0","d*","740"
"PR_ПОПЕРЕЧНОЕ УСКОРЕНИЕ","PR036","2107","0.015*D-1.905","0","0","грамм","740"
"PR_СМЕЩЕНИЕ ПРОГРАММ. ПОПЕРЕЧНОГО УСКОРЕНИЯ","PR016","210F","0.00001*(signed(C)*256+D)","0","0","грамм","740"
"PR_ПРОДОЛЬНОЕ УСКОРЕНИЕ","PR007","220207","0.05*A-10","0","0","грамм","740"
"PR_СМЕЩ. ЗАПРОГР. ЗНАЧ. ДАТЧИКА УСКОР. ПРОДОЛЬН.","PR114","210F","0.02*(G*256+H)","0","0","грамм","740"
"PR_УГОЛ ДАТЧИКА ВРАЩ. ВОКРУГ ЦЕНТРА ТЯЖЕСТИ","PR034","2107","0.6*E-76.2","0","0","*/с","740"
"PR_ТЕМПЕРАТУРА ГИДРОБЛОКА","PR018","2107","I","0","0","*C","740"
"PR_ЧИСЛО ЗУБЦОВ МИШЕНИ","PR055","312B00","(1.0*A)/2","0","0","","740"
