name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_НАПРЯЖЕНИЕ АККУМУЛЯТОРНОЙ БАТАРЕИ 12 В","PR004","2122","0.0625*((B*256+C)>6)","0","0","V","74D"
"PR_ЗАРЯД ОТ ГЕНЕРАТОРА","PR010","2122","0.390625*((C*256+D)>4)","0","0","%","74D"
"PR_СКОРОСТЬ АВТОМОБИЛЯ","PR020","2121","0.01*((J*65536+K*256+L)>5)","0","0","км/час","74D"
"PR_ПРОБЕГ А/М ПРИ ПОСЛЕДНЕМ ПОЯВЛ. НЕИСПР.","PR015","1906FF","(E*65536+F*256+G)","0","0","km","74D"
"ST_УПРАВЛЕНИЕ РЕЛЕ + 12 В ПОСЛЕ ЗАМКА ЗАЖИГ","ET003","2104","{B:7}","0","0","","74D"
"ST_ЭЛЕКТРОДВИГ. ОЧИСТИТ. ВЕТРОВОГО СТЕКЛА","ET064","2122","((A>4)&3)","0","0","","74D"
"ST_ПОЛОЖ. ОСТ. ПРЕР. РЕЖ. СТЕКЛООЧ. ВЕТР. СТ","ET018","2122","{A:3}","0","0","","74D"
"ST_ЗАЩИТА ПЕРЕДНЕГО СТЕКЛООЧИСТИТЕЛЯ","ET002","2122","(((A*256+B)>7)&3)","0","0","","74D"
"ST_ПОЛОЖЕНИЕ РЫЧАГА ПЕРЕКЛЮЧЕНИЯ ПЕРЕДАЧ","ET005","2101","{A:7}","0","0","","74D"
"ST_ВКЛЮЧЕН ЗАДНИЙ ХОД","ET004","2101","{A:6}","0","0","","74D"
"ST_ETAT PRIVE 2","ET077","2122","{A:1}","0","0","","74D"
"ST_КОМПРЕССОР КОНДИЦИОНЕРА","ET015","2104","{B:5}","0","0","","74D"
"ST_СКОР ВРАЩ ЭЛЕКТРОВЕНТ. ЗАПР ЭБУ СИСТ ВПР","ET073","2121","((L>3)&3)","0","0","","74D"
"ST_ЭЛ.ВЕНТИЛЯТОР","ET074","2122","((E>6)&3)","0","0","","74D"
"ST_ГАБАРИТНЫЕ ОГНИ","ET066","2121","{H:0}","0","0","","74D"
"ST_БЛИЖНИЙ СВЕТ","ET067","2121","{I:7}","0","0","","74D"
"ST_ДАЛЬНЫЙ СВЕТ ФАР","ET068","2121","{I:6}","0","0","","74D"
"ST_АВТОМАТ. ВКЛЮЧ. СВЕТА ДНЕВНОГО ДВИЖЕНИЯ","ET070","2121","{S:1}","0","0","","74D"
"ST_ПЕРЕДНИЕ ПРОТИВОТУМАННЫЕ ФАРЫ","ET069","2121","{I:5}","0","0","","74D"
"ST_КОНТАКТ ДАВЛЕНИЯ МАСЛА","ET027","2101","{A:2}","0","0","","74D"
"ST_РАЗР. ЛАМПА","LC009","2106","{A:3}","0","0","","74D"
