name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_ПРАВЫЙ ЗАДНИЙ НАРУЖНЫЙ ДАТЧИК РАССТОЯНИЯ","PR003","222037","J","0","255","cm","74E"
"PR_ЛЕВЫЙ ЗАДНИЙ НАРУЖНЫЙ ДАТЧИК РАССТОЯНИЯ","PR001","222037","A","0","255","cm","74E"
"PR_ПРАВЫЙ ЗАДНИЙ ВНУТР. ДАТЧИК РАССТОЯНИЯ","PR004","222037","G","0","255","cm","74E"
"PR_ЛЕВЫЙ ЗАДНИЙ ВНУТРЕННИЙ ДАТЧИК РАССТОЯНИЯ","PR002","222037","D","0","255","cm","74E"
"PR_НАПРЯЖЕНИЕ ПИТАНИЯ ДАТЧИКОВ","PR006","222032","(1.0*(A))/10","5","24","V","74E"
"PR_РАССТ. ОПРЕД. ПРАВ. НАРУЖ. ПЕРЕДН. ДАТЧ.","PR024","222038","J","0","255","cm","74E"
"PR_РАССТ. ОПРЕД. ЛЕВЫМ НАРУЖ. ПЕРЕДН. ДАТЧ.","PR021","222038","A","0","255","cm","74E"
"PR_РАССТ. ОПРЕД. ПРАВ. ВНУТР. ПЕРЕДН. ДАТЧ.","PR023","222038","G","0","255","cm","74E"
"PR_РАССТ. ОПРЕД. ЛЕВЫМ ВНУТР. ПЕРЕДН. ДАТЧ.","PR022","222038","D","0","255","cm","74E"
"PR_НАПРЯЖЕНИЕ ПИТАНИЯ КОМПЬЮТЕРА","PR020","222031","(1.0*(A))/10","5","24","V","74E"
"PR_ДИСТ. ТЯГОВО-СЦЕПНОГО УСТРОЙСТВА ПРИЦЕПА","PR026","22200D","A","20","40","cm","74E"
"PR_САМАЯ КОРОТКАЯ ВЫЧИСЛЕННАЯ ДИСТАНЦИЯ","PR005","222035","A","0","255","cm","74E"
"PR_РАСЧ. МИН. РАССТ.. ОПРЕДЕЛ. ПЕРЕДН. ДАТЧ.","PR025","222036","A","0","255","cm","74E"
"PR_ПРОБЕГ А/М ПРИ ПОСЛЕДНЕМ ПОЯВЛ. НЕИСПР.","PR030","1906FF","(E*65536+F*256+G)","0","0","km","74E"
"ST_НАЛИЧИЕ ПРИЦЕПА","ET006","222034","{A:1}","0","0","","74E"
"ST_ПЕРЕКЛЮЧАТЕЛЬ ПАРКОВОЧНОЙ СИСТЕМЫ","ET004","222034","{A:5}","0","0","","74E"
"ST_ГРОМКОСТЬ ЗВУКОВОГО СИГНАЛИЗАТОРА","LC001","222008","A","0","0","","74E"
