name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_ТЕМПЕРАТУРА ВОДЫ","PR064","222001","(1.0*((A*256+B)-2730))/10","0","0","*C","7E0"
"PR_ПОЛНОЕ ДАВЛЕНИЕ НАДДУВА","PR931","22F40B","(A)*10","0","0","мбар","7E0"
"PR_ДАВЛЕНИЕ В КОЛЛЕКТОРЕ","PR312","22240B","(A*256+B)","0","0","мбар","7E0"
"PR_НАПРЯЖЕНИЕ ПИТАНИЯ КОМПЬЮТЕРА","PR071","222005","(1.0*((A*256+B)))/100","0","0","V","7E0"
"PR_ЗАПР.ЗНАЧ.РЕЗЕР.РЕЖ.БЛ.ДРОС.ЗАСЛ.С СЕРВ.","PR887","2224C9","(1.0*((A*256+B)))/20","0","0","%","7E0"
"PR_КОРРЕКЦИЯ ПАРАМЕТРА АДАПТАЦИИ ХОЛ. ХОДА","PR606","22209A","(1.0*((A*256+B)-32768))/32","0","0","Nm","7E0"
"PR_ЗНАЧЕНИЕ ДЕТОНАЦИЙ ЦИЛИНДРА 1","PR469","222847","(A*256+B)","0","0","","7E0"
"PR_ЗНАЧЕНИЕ ДЕТОНАЦИЙ ЦИЛИНДРА 2","PR471","222848","(A*256+B)","0","0","","7E0"
"PR_ЗНАЧЕНИЕ ДЕТОНАЦИЙ ЦИЛИНДРА 3","PR473","222849","(A*256+B)","0","0","","7E0"
"PR_ЗНАЧЕНИЕ ДЕТОНАЦИЙ ЦИЛИНДРА 4","PR475","22284A","(A*256+B)","0","0","","7E0"
"PR_ТЕМПЕРАТУРА ЗАБИРАЕМОГО ВОЗДУХА","PR059","22243F","(1.0*((A*256+B)-2730))/10","0","0","*C","7E0"
"PR_СРЕДНИЙ СИГНАЛ ДЕТОНАЦИЙ","PR427","22284D","A","0","0","","7E0"
"PR_НАПРЯЖЕНИЕ ВЕРХН. ДАТЧ. КИСЛОРОДА","PR098","222449","(A*256+B)","0","0","mV","7E0"
"PR_НАПРЯЖ. НИЖН. ДАТЧИКА КИСЛОРОДА","PR099","22244A","(A*256+B)","0","0","mV","7E0"
"PR_ИЗМЕРЕННОЕ ПОЛОЖ. ДРОСС. ЗАСЛОНКИ","PR429","22242F","(1.0*((A*256+B)))/20","0","0","%","7E0"
